index,State,Rank,Make,Make/Model,Model Year,Thefts
24,Arizona,5,Dodge,Dodge Pickup (Full Size),2001,428
25,Arizona,6,Nissan,Nissan Altima,2015,269
26,Arizona,7,GMC,GMC Pickup (Full Size),2015,246
27,Arizona,8,Toyota,Toyota Camry,1999,210
28,Arizona,9,Jeep,Jeep Cherokee/Grand Cherokee,1994,207
29,Arizona,10,Nissan,Nissan Sentra,2014,200
30,Arkansas,1,Chevrolet,Chevrolet Pickup (Full Size),2004,402
31,Arkansas,2,Ford,Ford Pickup (Full Size),2008,252
32,Arkansas,3,GMC,GMC Pickup (Full Size),1997,174
33,Arkansas,4,Dodge,Dodge Pickup (Full Size),1999,127
34,Arkansas,5,Honda,Honda Accord,1997,122
35,Arkansas,6,Nissan,Nissan Altima,2015,89
36,Arkansas,7,Toyota,Toyota Camry,2013,82
37,Arkansas,8,Chevrolet,Chevrolet Impala,2012,76
38,Arkansas,9,Chevrolet,Chevrolet Malibu,2006,72
39,Arkansas,10,Chevrolet,Chevrolet Tahoe,2003,68
40,California,1,Honda,Honda Accord,1996,"28,345"
41,California,2,Honda,Honda Civic,1998,"28,045"
42,California,3,Chevrolet,Chevrolet Pickup (Full Size),2006,"6,048"
43,California,4,Toyota,Toyota Camry,1991,"5,345"
44,California,5,Ford,Ford Pickup (Full Size),2006,"4,504"
45,California,6,Acura,Acura Integra,1994,"4,273"
46,California,7,Toyota,Toyota Corolla,2014,"3,339"
47,California,8,Nissan,Nissan Sentra,1997,"2,555"
48,California,9,Nissan,Nissan Altima,1997,"2,281"
49,California,10,Honda,Honda CR-V,1999,"2,033"
50,Colorado,1,Honda,Honda Civic,1997,"1,380"
51,Colorado,2,Honda,Honda Accord,1997,"1,167"
52,Colorado,3,Ford,Ford Pickup (Full Size),2005,595
53,Colorado,4,Jeep,Jeep Cherokee/Grand Cherokee,1999,594
54,Colorado,5,Chevrolet,Chevrolet Pickup (Full Size),2000,450
55,Colorado,6,Dodge,Dodge Pickup (Full Size),2001,308
56,Colorado,7,Subaru,Subaru Legacy,1996,215
57,Colorado,8,Acura,Acura Integra,1994,208
58,Colorado,9,Toyota,Toyota Camry,1989,203
59,Colorado,10,Toyota,Toyota Corolla,2014,170
60,Connecticut,1,Honda,Honda Accord,1997,534
61,Connecticut,2,Honda,Honda Civic,1998,532
62,Connecticut,3,Nissan,Nissan Maxima,1998,184
63,Connecticut,4,Nissan,Nissan Altima,1997,143
64,Connecticut,5,Toyota,Toyota Camry,2014,131
65,Connecticut,6,Jeep,Jeep Cherokee/Grand Cherokee,2000,110
66,Connecticut,7,Toyota,Toyota Corolla,1999,99
67,Connecticut,8,Honda,Honda CR-V,1998,92
68,Connecticut,9,Dodge,Dodge Caravan,2000,79
